Glucose,,,,,,
(X) Wavelength,(Y)Absorbance Coefficient  (cm-1),,,,,
900,0,,,,,
904.733704,0,,,,,
909.467468,0,,,,,
914.201172,0,,,,,
918.934937,0,,,,,
923.66864,0,,,,,
928.402344,0,,,,,
933.136108,0,,,,,
937.869812,0,,,,,
942.603577,0,,,,,
947.33728,0,,,,,
952.070984,0,,,,,
956.804749,0,,,,,
961.538452,0,,,,,
966.272217,0,,,,,
971.00592,0,,,,,
975.739624,0,,,,,
980.473389,0,,,,,
985.207092,0,,,,,
989.940857,0,,,,,
994.674561,0,,,,,
999.408264,0,,,,,
1004.142029,0,,,,,
1008.875732,0,,,,,
1013.609497,0,,,,,
1018.343201,0,,,,,
1023.076904,0,,,,,
1027.810669,0,,,,,
1032.544434,0,,,,,
1037.278076,0,,,,,
1042.011841,0,,,,,
1046.745605,0,,,,,
1051.479248,0,,,,,
1056.213013,0,,,,,
1060.946777,0,,,,,
1065.68042,0,,,,,
1070.414185,0,,,,,
1075.147949,0,,,,,
1079.881714,0,,,,,
1084.615356,0,,,,,
1089.349121,0,,,,,
1094.082886,0,,,,,
1098.816528,0,,,,,
1103.550293,0,,,,,
1108.284058,0,,,,,
1113.0177,0.113136,,,,,
1117.751465,0.256096,,,,,
1122.485229,0.399052,,,,,
1127.218994,0.542011,,,,,
1131.952637,0.684967,,,,,
1136.686401,0.82793,,,,,
1141.420166,0.97089,,,,,
1146.153809,1.113846,,,,,
1150.887573,1.256805,,,,,
1155.621338,1.399761,,,,,
1160.35498,1.542717,,,,,
1165.088745,1.6,,,,,
1169.82251,1.6,,,,,
1174.556152,1.6,,,,,
1179.289917,1.6,,,,,
1184.023682,1.6,,,,,
1188.757446,1.6,,,,,
1193.491089,1.6,,,,,
1198.224854,1.6,,,,,
1202.958618,1.6,,,,,
1207.692261,1.6,,,,,
1212.426025,1.6,,,,,
1217.15979,1.6,,,,,
1221.893433,1.6,,,,,
1226.627197,1.6,,,,,
1231.360962,1.512897,,,,,
1236.094727,1.369938,,,,,
1240.828369,1.226982,,,,,
1245.562134,1.2,,,,,
1250.295898,1.2,,,,,
1255.029541,1.2,,,,,
1259.763306,1.2,,,,,
1264.49707,1.2,,,,,
1269.230713,1.2,,,,,
1273.964478,1.2,,,,,
1278.698242,1.2,,,,,
1283.432007,1.259647,,,,,
1288.165649,1.402603,,,,,
1292.899414,1.545563,,,,,
1297.633179,1.688522,,,,,
1302.366821,1.831478,,,,,
1307.100586,1.974438,,,,,
1311.834351,2,,,,,
1316.567993,2,,,,,
1321.301758,2.00663,,,,,
1326.035522,2.292549,,,,,
1330.769287,2.578468,,,,,
1335.50293,2.864372,,,,,
1340.236694,3.150291,,,,,
1344.970459,3.436211,,,,,
1349.704102,3.844254,,,,,
1354.437866,4.416092,,,,,
1359.171631,4.987946,,,,,
1363.905273,5.559753,,,,,
1368.639038,6.131592,,,,,
1373.372803,6.70343,,,,,
1378.106567,7.512894,,,,,
1382.84021,8.370636,,,,,
1387.573975,9.299377,,,,,
1392.307739,12.301575,,,,,
1397.041382,15.30365,,,,,
1401.775146,18.272217,,,,,
1406.508911,21.131409,,,,,
1411.242554,23.99054,,,,,
1415.976318,26.412292,,,,,
1420.710083,28.270752,,,,,
1425.443848,30.129211,,,,,
1430.17749,30.982712,,,,,
1434.911255,31.268639,,,,,
1439.64502,31.554558,,,,,
1444.378662,31.239288,,,,,
1449.112427,30.810394,,,,,
1453.846191,30.375381,,,,,
1458.579834,29.803558,,,,,
1463.313599,29.23172,,,,,
1468.047363,28.519775,,,,,
1472.781006,27.376129,,,,,
1477.514771,26.232452,,,,,
1482.248535,24.83313,,,,,
1486.9823,23.117615,,,,,
1491.715942,21.4021,,,,,
1496.449707,20.057739,,,,,
1501.183472,18.914062,,,,,
1505.917114,17.770416,,,,,
1510.650879,16.62674,,,,,
1515.384644,15.483063,,,,,
1520.118286,14.369705,,,,,
1524.852051,13.797867,,,,,
1529.585815,13.226028,,,,,
1534.31958,12.65419,,,,,
1539.053223,12.082367,,,,,
1543.786987,11.510529,,,,,
1548.520752,11.004028,,,,,
1553.254395,10.57515,,,,,
1557.988159,10.146271,,,,,
1562.721924,9.8116,,,,,
1567.455566,9.525681,,,,,
1572.189331,9.239761,,,,,
1576.923096,8.830765,,,,,
1581.65686,8.401886,,,,,
1586.390503,7.991009,,,,,
1591.124268,7.848049,,,,,
1595.858032,7.70509,,,,,
1600.591675,7.524269,,,,,
1605.325439,7.23835,,,,,
1610.059204,6.952431,,,,,
1614.792847,6.733257,,,,,
1619.526611,6.590298,,,,,
1624.260376,6.447338,,,,,
1628.994141,6.304379,,,,,
1633.727783,6.161423,,,,,
1638.461548,6.018463,,,,,
1643.195312,6,,,,,
1647.928955,6,,,,,
1652.66272,5.989586,,,,,
1657.396484,5.846626,,,,,
1662.130127,5.703667,,,,,
1666.863892,5.6,,,,,
1671.597656,5.6,,,,,
1676.331421,5.6,,,,,
1681.065063,5.6,,,,,
1685.798828,5.6,,,,,
1690.532593,5.6,,,,,
1695.266235,5.697041,,,,,
1700,5.84,,,,,
